New Collider
(x:642 y:500)
(x:567 y:501)
(x:491 y:501)
(x:415 y:501)
(x:339 y:501)
(x:264 y:501)
(x:188 y:501)
(x:112 y:501)
(x:36 y:501)
(x:0 y:540)
(x:0 y:616)
(x:0 y:692)
(x:58 y:732)
(x:133 y:753)
(x:209 y:753)
(x:285 y:753)
(x:361 y:753)
(x:436 y:753)
(x:512 y:753)
(x:588 y:753)
(x:664 y:753)
(x:739 y:754)
(x:815 y:754)
(x:891 y:754)
(x:967 y:754)
(x:1042 y:753)
(x:1118 y:753)
(x:1194 y:754)
(x:1270 y:754)
(x:1313 y:719)
(x:1312 y:643)
(x:1312 y:567)
(x:1248 y:531)
(x:1173 y:502)
(x:1097 y:500)
(x:1021 y:500)
(x:945 y:500)
(x:870 y:500)
(x:794 y:500)
(x:718 y:500)
